grid,type,estimate,se
1003,intercept,-1.9317417216247126,0.1009420078491677
1006,intercept,-0.9046788002591992,0.17715166770560548
1009,intercept,-1.3389592540236626,0.21770159852230045
1010,intercept,-1.5758986549279475,0.31553026982201293
1030,intercept,-2.0401176452051297,0.10254217909991693
1031,intercept,-2.5261992296887312,0.056583865379774036
1032,intercept,-2.1782439759957755,0.06185379372886105
1033,intercept,-2.332870751035889,0.06750717804826364
1034,intercept,-1.5535817437507187,0.09143540230258164
1035,intercept,-1.9465867402066983,0.07629653620589365
1036,intercept,-2.092924720535414,0.06359334413657963
1037,intercept,-1.543553540425505,0.07237096423500616
1047,intercept,-1.362761300524439,0.11766112471543248
1048,intercept,-1.8604716119462918,0.08750470417800915
1049,intercept,-1.834186737345331,0.086918080886763
1050,intercept,-2.0702597090130426,0.07951938946729187
1051,intercept,-1.7430824058404215,0.07564655445427802
1052,intercept,-1.3726011774590001,0.10848319648755089
1054,intercept,-1.5653573098051252,0.1386301619143605
1069,intercept,-1.8280891565963948,0.11648540785031773
1070,intercept,-1.7241598976121226,0.1083694325732426
1071,intercept,-1.5606142091425144,0.10890423614541161
1072,intercept,-1.5989442851847928,0.1032450736020322
1073,intercept,-1.8963170860037164,0.09540452459717044
1074,intercept,-2.066960835234088,0.08745294931496664
1078,intercept,-0.9776394335672396,0.20152258547213012
1080,intercept,-1.4013017393897629,0.19817896250290765
1081,intercept,-1.5386676379136546,0.3154698746160671
1082,intercept,-1.0574243143771165,0.23613412377313028
1101,intercept,-3.1309699578267556,0.05742237413836099
1102,intercept,-2.6493015567487808,0.05119444384962274
1103,intercept,-2.4852969943201697,0.05439457036224943
1105,intercept,-1.7890804816996555,0.08199744854741607
1107,intercept,-2.066423407469897,0.07179289821001587
1108,intercept,-1.752791675833165,0.06841686622459568
1109,intercept,-1.8304603427197994,0.07791945757334141
1122,intercept,-1.5940729351288332,0.10406539984965746
1123,intercept,-1.872437461730763,0.08033608214840143
1126,intercept,-0.9807278773416636,0.16036358290160466
1136,intercept,-1.6666440398110802,0.38978883252913016
1138,intercept,-1.1692244788615347,0.3257551579586146
1141,intercept,-1.655510398488171,0.1353500205349807
1142,intercept,-1.437239297420048,0.1425062247933808
1143,intercept,-1.6981375476007916,0.11063930426109515
1144,intercept,-1.69759071974197,0.1173781779589182
1145,intercept,-1.761333652407038,0.10139930456184004
1149,intercept,-1.094575931179751,0.25582237338439623
1172,intercept,-1.2750711767587952,0.14447220959561957
1173,intercept,-2.6676574572670404,0.049669825237466325
1174,intercept,-1.6168280369858972,0.0795812569809242
1175,intercept,-1.623704962747913,0.08856971352250495
1176,intercept,-1.9106929704902622,0.06735432328467861
1177,intercept,-2.1518459065848194,0.06465185565610757
1178,intercept,-1.7722287182078678,0.07181492415657574
1179,intercept,-1.8193041317043768,0.06984129883487387
1180,intercept,-1.8566024118157347,0.09113615678960356
1181,intercept,-1.8674745748703805,0.07677243152953543
1182,intercept,-1.7714390787475405,0.1084539342065118
1195,intercept,-1.56757351966777,0.09644685243789097
1196,intercept,-2.1727742870983873,0.07326739802409844
1210,intercept,-1.882050733304053,0.10136470783267934
1211,intercept,-1.9219952042571709,0.09968528859285358
1212,intercept,-2.15490656973589,0.09078447349298903
1213,intercept,-1.537784417140275,0.11236343249935031
1214,intercept,-1.394311477155646,0.12522484062847186
1217,intercept,-1.9311203898615315,0.0759768736569695
1218,intercept,-1.9491983641345267,0.09653269969796005
1219,intercept,-1.1898371060832553,0.20277139937471436
1220,intercept,-0.9691564350361458,0.19625920442348233
1221,intercept,-1.0475776803819024,0.20784561635022547
1242,intercept,-1.8556079337537623,0.22909841917871632
1243,intercept,-1.7021840069507346,0.24368902212570354
1244,intercept,-2.084591398322648,0.07675008279366696
1245,intercept,-2.663049434564508,0.04998728672772282
1246,intercept,-2.2897594935706502,0.06356518436150184
1247,intercept,-2.098306900248147,0.07612495001120481
1248,intercept,-2.1659342848733263,0.06355123427917789
1249,intercept,-2.20893332415424,0.06196889531636663
1250,intercept,-2.014192240118189,0.0655318754172539
1251,intercept,-1.8948484184812815,0.07384891483299952
1252,intercept,-1.8845227841312737,0.08461676819522443
1253,intercept,-1.603244263271412,0.09084926005850469
1254,intercept,-1.2079109716545209,0.3677991680808996
1266,intercept,-2.101448056638603,0.0677675047729637
1267,intercept,-2.3287929815924406,0.06345981540457886
1268,intercept,-2.222072422531179,0.06045967987608901
1272,intercept,-1.247222312924365,0.24302980360043014
1285,intercept,-1.2953403642431944,0.13261387084717394
1286,intercept,-1.8110874736146478,0.12151207963619799
1287,intercept,-1.9180163340717666,0.0853690499051186
1289,intercept,-1.6087751953794296,0.11547256824522983
1315,intercept,-1.559749488848369,0.3532173058095219
1317,intercept,-2.6641931907630223,0.049507596120531024
1318,intercept,-2.685456196494784,0.05426123958842039
1319,intercept,-1.8567863826862896,0.07730967613736818
1320,intercept,-1.9517922735997844,0.07047810466361248
1321,intercept,-2.16785793895093,0.0710586122382298
1322,intercept,-1.916267414253212,0.0741085248952273
1334,intercept,-1.7225237663040451,0.07869576896092362
1335,intercept,-1.5376298024092894,0.09252573715897106
1339,intercept,-2.317992694704756,0.06207399951712547
1340,intercept,-2.041919906472466,0.06469246369453872
1352,intercept,-1.4353843558753796,0.10002397302049079
1353,intercept,-2.4919823757448634,0.06948445928579985
1355,intercept,-2.2169734980298346,0.08220731571197328
1356,intercept,-1.9138899928974966,0.08772505533076046
1357,intercept,-1.5216210196263218,0.13957338708331157
1358,intercept,-1.8960388555100043,0.12279909946147899
1387,intercept,-1.9519695567364594,0.0943870996248727
1388,intercept,-2.388550930207604,0.05949018317209864
1389,intercept,-2.6465215542500102,0.05289538591442142
1390,intercept,-2.537385314011231,0.05250704229006151
1391,intercept,-2.137153451212371,0.07078362665427858
1392,intercept,-1.7543750225559358,0.08009913724958398
1393,intercept,-2.2342520494825346,0.07273648822231804
1394,intercept,-1.9855291598734464,0.07652714607754338
1402,intercept,-1.5386136092048874,0.10977823298783652
1404,intercept,-1.9585852951025082,0.07241798657591422
1405,intercept,-1.790422907360543,0.08341407796915391
1412,intercept,-2.053604830040573,0.071075782885804
1413,intercept,-1.3710864879962805,0.1108806168478944
1420,intercept,-2.669991966214218,0.08639008449456272
1421,intercept,-1.774954698157979,0.10702933406060539
1423,intercept,-1.3968827861681248,0.2094051940418303
1424,intercept,-2.328655452396942,0.08293653038372857
1425,intercept,-2.010106802622616,0.08396096383302894
1428,intercept,-2.131731926524703,0.07434413477895352
1429,intercept,-1.7454689719620975,0.09997621053630532
1430,intercept,-1.6642770662568576,0.10308657451454956
1431,intercept,-1.7218971009297233,0.20561141373100383
1458,intercept,-1.9965044359397413,0.0716795271017839
1459,intercept,-2.5611428414213755,0.06211912916659439
1460,intercept,-2.3445155546170673,0.061083803134937824
1461,intercept,-2.1398743461910117,0.08449195584967899
1462,intercept,-2.500152618760067,0.06079497771152298
1463,intercept,-2.443896002270101,0.06903794518218924
1464,intercept,-2.366442997921705,0.0778097307963693
1465,intercept,-1.8149129750537087,0.1959401908560806
1472,intercept,-1.075183664859658,0.27005010037231286
1473,intercept,-1.8564148612557303,0.08541269941202558
1474,intercept,-1.5903738527403934,0.092233388978574
1476,intercept,-1.3288583173588215,0.10537111222013798
1484,intercept,-1.5411951636920231,0.09286815324315656
1485,intercept,-1.8049054432524176,0.11013591236706118
1491,intercept,-1.9712057696788252,0.09252180776960416
1492,intercept,-2.4845370300075746,0.08140370524903968
1493,intercept,-2.3922981193919743,0.10082880822047796
1495,intercept,-1.855221708867941,0.13257606523825782
1496,intercept,-2.136658223463563,0.07563984143362763
1497,intercept,-2.4520961077360544,0.07449174662418954
1498,intercept,-2.125737203416165,0.07080944413596332
1500,intercept,-1.505409505236231,0.13643260927764114
1501,intercept,-2.0475259380104154,0.09937371807777352
1505,intercept,-1.7018724500810822,0.32276449543753016
1517,intercept,-1.3503431660538427,0.19823139591865988
1518,intercept,-1.060385640031892,0.24905248414643694
1527,intercept,-1.3130672880186771,0.11349161841465424
1528,intercept,-2.005288037655915,0.07105111442055315
1529,intercept,-2.1648387337047725,0.06339465078590716
1530,intercept,-2.145687352307673,0.06483704316924929
1531,intercept,-2.5921730632354687,0.06729993559091957
1532,intercept,-2.6395694394334592,0.07521710568733017
1533,intercept,-2.0656414020379223,0.10073482970837969
1534,intercept,-2.1128314398614956,0.1122354778323837
1535,intercept,-2.716376276532519,0.09543534295600645
1536,intercept,-2.795500878932497,0.11619485703199633
1544,intercept,-1.4199259616479005,0.1938526783315454
1545,intercept,-1.431450353435562,0.1037663646253472
1559,intercept,-1.8267315418530112,0.10012445512561022
1560,intercept,-1.6030495740916222,0.14373695840137998
1563,intercept,-2.26745936020543,0.08091845505741709
1564,intercept,-1.8991890383679706,0.08868036209807174
1565,intercept,-1.8485498577600614,0.08752022908809058
1566,intercept,-1.6578254704672528,0.11703898363805527
1568,intercept,-2.2213527085105937,0.06635999495557976
1569,intercept,-2.4110014521426555,0.07019439103023666
1570,intercept,-1.9712201152571118,0.07848395785549336
1573,intercept,-1.5542205200798602,0.10574275344338567
1578,intercept,-1.4250569983263444,0.27257938559949896
1589,intercept,-1.4433876129770387,0.18312570773251577
1598,intercept,-1.9405716857199604,0.10746885349771254
1599,intercept,-2.1042097056737625,0.07497606022761945
1600,intercept,-2.1442158400046547,0.07139693864877007
1601,intercept,-1.9678813497137841,0.06991136468568096
1602,intercept,-1.8962586085341746,0.10257252973952952
1603,intercept,-2.3256493441156403,0.07909440665862107
1604,intercept,-2.3326583655899125,0.08899036402943218
1605,intercept,-2.2495705257836955,0.1043859607278796
1606,intercept,-2.453239816963366,0.11658461504464097
1617,intercept,-1.588272208003934,0.13057566013911084
1618,intercept,-1.3838435384573333,0.136515314647167
1628,intercept,-1.229881927631738,0.16132657372443887
1631,intercept,-2.128760257468826,0.10231901787577738
1632,intercept,-2.07567811058321,0.10100227989064113
1634,intercept,-1.790664350674389,0.09235666841548805
1635,intercept,-1.9402478808266252,0.08950960587361063
1636,intercept,-2.433684184888631,0.08192507894675134
1637,intercept,-2.2935093838224634,0.08746738549133778
1638,intercept,-2.3717601026972868,0.07703917971292457
1639,intercept,-2.342417345162071,0.0649563033548531
1640,intercept,-2.12897164092913,0.062232270190340014
1641,intercept,-2.0934183532438433,0.06547332196608063
1642,intercept,-2.1038714807933423,0.07285225386630563
1643,intercept,-2.5716406025079026,0.07369666289116555
1644,intercept,-2.708337908297296,0.08753648219048107
1645,intercept,-2.9493391397295974,0.07762877082433052
1657,intercept,-1.3185865308941676,0.3960509637875063
1669,intercept,-1.7084159363103506,0.14678889570360074
1670,intercept,-2.242964547190047,0.08263388092214514
1671,intercept,-1.6946829421723657,0.07819267013223104
1672,intercept,-2.1231108863764994,0.07276913679194717
1673,intercept,-2.5263345455462236,0.07551741151737147
1674,intercept,-2.3112459524819817,0.0817333871521513
1675,intercept,-1.8452841208610427,0.09139044333839848
1676,intercept,-2.874574548782263,0.07994626142776695
1677,intercept,-2.425115539376347,0.1032825858109076
1689,intercept,-2.360472169724256,0.13719411811379037
1690,intercept,-2.211724742473688,0.10567258623185745
1699,intercept,-1.915116078217461,0.08640662472987692
1700,intercept,-1.673096810397848,0.09742697370490129
1702,intercept,-2.2459451861102804,0.08616921031395104
1703,intercept,-2.087963970887193,0.10462864233411179
1704,intercept,-2.329466699068828,0.09634685474897466
1705,intercept,-1.3457619768037032,0.16809770637312962
1707,intercept,-1.774484321875454,0.09762616855786095
1708,intercept,-2.5716920860077304,0.06683907953467594
1709,intercept,-2.47962205013435,0.06514530384766591
1710,intercept,-2.3771429847954506,0.05877111996437163
1711,intercept,-2.535301111208333,0.05638930018769889
1712,intercept,-2.0854276025954066,0.05808308814209791
1713,intercept,-2.0892833421276262,0.07272761018715364
1714,intercept,-1.2252654667447525,0.11791805389576929
1716,intercept,-2.1709416218486255,0.08778534656722112
1717,intercept,-3.0141509711465972,0.07953059184592384
1718,intercept,-2.0814423503637567,0.13101730440406067
1740,intercept,-2.0266364246463064,0.08898735390290471
1741,intercept,-2.827000372770679,0.07084007004578233
1742,intercept,-2.492778394979374,0.07237312993142382
1743,intercept,-2.3540394233181536,0.07449536449265518
1744,intercept,-2.3890274550374797,0.07517277613253759
1745,intercept,-2.5864947931631646,0.07947516578674477
1746,intercept,-2.088847723595823,0.08470378658250034
1747,intercept,-2.391277265814283,0.08420873055954754
1748,intercept,-2.5496745669073917,0.08106898868335263
1749,intercept,-2.2792472422077594,0.09202741356253048
1752,intercept,-2.542378151732271,0.10404872907273333
1761,intercept,-1.7031871141126522,0.1740031108968636
1763,intercept,-1.8068798127091599,0.10073170261761998
1764,intercept,-1.7112637257680223,0.10597860282093301
1766,intercept,-1.1494459986531895,0.15474668436987538
1767,intercept,-1.2514522027190287,0.15373594843810773
1771,intercept,-2.080747435201023,0.08700214590508237
1772,intercept,-1.898464486333751,0.08335707816527164
1773,intercept,-1.3235893335130389,0.13193883599975026
1774,intercept,-1.691961477871395,0.10539196854456943
1775,intercept,-1.6928430996127308,0.13085215083193097
1778,intercept,-1.545984298987605,0.14802346338864636
1779,intercept,-2.1823046089829297,0.07343114888090863
1780,intercept,-2.495084521431234,0.0628268318659878
1781,intercept,-1.852391071919681,0.08511647482053471
1784,intercept,-1.4394050212005922,0.121992815111253
1785,intercept,-2.063512609524463,0.07167605211773112
1786,intercept,-2.017124673439851,0.08944555932702791
1787,intercept,-1.6593677089885717,0.09361513799435689
1788,intercept,-1.6273796387990098,0.1011371215974929
1789,intercept,-2.0880197070837996,0.08978474692539021
1790,intercept,-1.6925877750441878,0.12867987025543126
1791,intercept,-1.8870119716225386,0.1136777269722067
1792,intercept,-1.9217901668626078,0.12123493531537817
1812,intercept,-2.878762397986373,0.07633140249938
1813,intercept,-2.498449199338874,0.07792613993291976
1814,intercept,-2.4214677432294094,0.08008793145413477
1815,intercept,-2.6321962257920006,0.0770673767169916
1816,intercept,-2.4623892185014578,0.0791692046818335
1817,intercept,-2.304497832706429,0.08769314478231097
1818,intercept,-2.08928161419107,0.08558327073156277
1819,intercept,-2.1780290300646308,0.08798407273932252
1820,intercept,-2.092345894643776,0.08700220144829723
1821,intercept,-2.518902746105463,0.08356255753041442
1822,intercept,-2.0420209924651638,0.08469239064227004
1830,intercept,-2.374013978707704,0.14256766514707328
1831,intercept,-2.1219238308310198,0.1700746348197439
1835,intercept,-2.431283372043406,0.09047612906787467
1836,intercept,-2.1504299697289193,0.0910222072738842
1837,intercept,-2.012594875977017,0.10776826720759491
1838,intercept,-1.838051125027089,0.10651597081615861
1839,intercept,-1.7623141639034898,0.10354400550194119
1840,intercept,-1.6258375234420643,0.12036040382147511
1841,intercept,-1.840777717349732,0.09840833742546275
1842,intercept,-1.8446568412685598,0.09790296762267461
1843,intercept,-1.7360652688637912,0.09298140248052521
1844,intercept,-1.6638498156398889,0.08978378195896744
1845,intercept,-1.3230883980349342,0.10472574352175482
1846,intercept,-1.6302074020727024,0.0947426602540082
1847,intercept,-1.8403534313642014,0.08796043979969824
1848,intercept,-1.6942555410797966,0.09762907272295786
1856,intercept,-1.351385073220953,0.13370703269690487
1857,intercept,-1.6755469029243084,0.09871790921454576
1860,intercept,-2.294997621069,0.08743995073864685
1861,intercept,-1.7097902654871096,0.09807717025119586
1862,intercept,-2.2818087699684018,0.09915105020701755
1864,intercept,-2.3775831309273254,0.09713960308423582
1865,intercept,-1.9222206650456737,0.11515353211861411
1884,intercept,-2.619073970265401,0.08391865499858242
1885,intercept,-2.394963408702325,0.08936715556120213
1886,intercept,-2.5098813453447546,0.08458264154729403
1887,intercept,-2.485936158365366,0.08190116606418665
1888,intercept,-2.4013634006207107,0.0832059296333534
1889,intercept,-2.2582575891952317,0.08920433924029422
1890,intercept,-2.153122079137175,0.08724816773911787
1891,intercept,-2.4801060149758842,0.08324486456006898
1892,intercept,-2.4733707569800174,0.08113734609883222
1893,intercept,-2.5677736769029447,0.08301988761675923
1894,intercept,-2.8092905656319997,0.0799647441822514
1895,intercept,-2.561090030683586,0.08105142397951243
1896,intercept,-2.4278373163423863,0.09268803292777196
1907,intercept,-2.0190158910569456,0.09640610928836162
1908,intercept,-1.8692766993912895,0.0907798542599273
1909,intercept,-2.0753819879973348,0.09038593020648591
1910,intercept,-1.8090649533858725,0.09935435263947784
1911,intercept,-2.0674060286989326,0.10320339365427525
1912,intercept,-1.715834263925952,0.10298645432101913
1913,intercept,-2.061421628532425,0.09902601861820208
1914,intercept,-1.879027979616888,0.09710686444554427
1915,intercept,-1.6175260964967784,0.09791197000966188
1916,intercept,-1.5559519633124874,0.10363804840615717
1917,intercept,-1.624992998587728,0.09236187579230273
1918,intercept,-1.6974839933647043,0.10897710241246314
1921,intercept,-1.4979930118985858,0.1167442195573465
1922,intercept,-1.1702430358679456,0.12757444206311372
1924,intercept,-1.6953465565365442,0.10174239045437099
1926,intercept,-1.2968101172241882,0.11649215070759594
1932,intercept,-1.9966380070038077,0.08796703918982372
1933,intercept,-1.6055757263614703,0.11787137326145243
1935,intercept,-1.4776088784943449,0.11491184839961784
1937,intercept,-1.9447167425201173,0.11361468287679612
1938,intercept,-1.9291370362921934,0.13091299416456037
1955,intercept,-2.220147206414276,0.10577389691648487
1956,intercept,-2.8354509937695926,0.08224349695231196
1957,intercept,-2.351857510947253,0.09312664057603151
1958,intercept,-2.440938387783068,0.08418219882925235
1959,intercept,-2.151145187933568,0.08821399737644149
1960,intercept,-2.075750465142929,0.08936043242551599
1961,intercept,-2.209355655870969,0.08910672850227923
1962,intercept,-2.2776711396785707,0.08741166703852508
1963,intercept,-2.392297077768265,0.08608321271339803
1964,intercept,-2.2155624416074327,0.08815148925234444
1965,intercept,-2.3827494982710706,0.09237154320100882
1966,intercept,-2.272920892074844,0.09030887516215715
1967,intercept,-2.356838881400799,0.08952029359718894
1968,intercept,-2.5147850562180576,0.09014827637789614
1969,intercept,-2.4142615556507634,0.10561918911743479
1970,intercept,-2.685356988836408,0.09779885983984735
1971,intercept,-1.873829724949915,0.3883938460598532
1979,intercept,-1.6228003119027026,0.11941887854406416
1980,intercept,-1.8525621502373257,0.1096231177200984
1981,intercept,-2.002804726008117,0.10698987810639703
1982,intercept,-2.158596888419253,0.09746315652979014
1983,intercept,-2.0143618870952786,0.10094135827803564
1984,intercept,-1.9036297283890087,0.1034475707078172
1985,intercept,-1.6533077757663397,0.1034072237529425
1986,intercept,-1.6579064617567851,0.10361436032884262
1987,intercept,-1.4928315346233363,0.11628817054351104
1988,intercept,-1.4459915892318302,0.12414390877969665
1998,intercept,-1.3095500602809684,0.11768077934809237
2002,intercept,-1.3946146127753327,0.11829240365768419
2017,intercept,-1.729970689345618,0.23593726099969323
2019,intercept,-1.2677111474931722,0.24496922244428984
2026,intercept,-2.1340166750948417,0.1246815140783705
2027,intercept,-2.043285408654129,0.09995808828581347
2028,intercept,-1.991912132308811,0.09941187895204735
2029,intercept,-2.247863667679601,0.09486368888555655
2030,intercept,-2.243987191448909,0.09254058940705986
2031,intercept,-2.054527925791758,0.0982397242843873
2032,intercept,-2.1922701093174495,0.09461258783529583
2033,intercept,-1.969616252331443,0.09124550832808244
2034,intercept,-2.0323434981419397,0.1059324287695764
2035,intercept,-1.8220188689390442,0.11748909398310473
2036,intercept,-1.3156453283374836,0.11503510264083949
2037,intercept,-1.4431920422601354,0.11814689883908039
2038,intercept,-1.3390680198323937,0.13145804064296643
2039,intercept,-1.8516719909295258,0.10798748218914818
2040,intercept,-1.8531465962330749,0.11248014759686177
2041,intercept,-2.1478507553073825,0.10973621121967732
2050,intercept,-1.6372225899280843,0.1413651715986643
2051,intercept,-2.3654743145109776,0.10964192200424085
2052,intercept,-2.7207607541757546,0.09645634578046182
2053,intercept,-2.6027327896967565,0.09177475409921242
2054,intercept,-2.1869509024544826,0.09701583213768887
2055,intercept,-1.8770979300948918,0.10684307881903002
2056,intercept,-1.6081929931919052,0.10544625300973545
2057,intercept,-1.5891860092170447,0.11208361078112193
2058,intercept,-1.8093515461055774,0.10948580849808354
2059,intercept,-1.5466814549977388,0.11815998116385722
2060,intercept,-1.128049409172645,0.15177042470237767
2064,intercept,-1.0673265763917916,0.16135655233669846
2067,intercept,-1.1470243206559823,0.14190015794069175
2070,intercept,-1.13642332568157,0.11963094788387242
2073,intercept,-1.0237160183023248,0.1489146649172574
2074,intercept,-1.3033537054934883,0.13757852850718738
2084,intercept,-1.1589458882333354,0.18032709856196813
2087,intercept,-1.182267070259536,0.2823974637187019
2088,intercept,-1.5096861600614844,0.31806783089427376
2090,intercept,-2.5757037174702173,0.15721161988881938
2093,intercept,-1.3614773381551648,0.15418226678756514
2094,intercept,-1.8756252299693998,0.1292788927031648
2095,intercept,-1.941143913611677,0.14845127201901726
2097,intercept,-2.232480500954778,0.11126125406014717
2098,intercept,-2.2995479522508084,0.10499094634015488
2099,intercept,-1.8557470930017606,0.11233994040729224
2100,intercept,-1.6957080926760006,0.10209238796415572
2101,intercept,-1.8668650126158606,0.1072528561392773
2102,intercept,-1.893500397871904,0.10469731205332722
2104,intercept,-1.7793057853628595,0.12758816394117867
2105,intercept,-1.8116782422288955,0.12547553625652672
2106,intercept,-2.0828357487467173,0.12727546641941553
2107,intercept,-1.3557900474165823,0.1699063735165273
2123,intercept,-1.8290068247355136,0.1265000354299062
2124,intercept,-2.484377250809123,0.10647240874721076
2126,intercept,-1.9825776790390728,0.10734220677097726
2127,intercept,-2.0683082657206096,0.10154332081519336
2128,intercept,-1.9965970904681025,0.098185233673022565
2129,intercept,-1.7615881318653746,0.11443496382482288
2130,intercept,-1.2687145944702398,0.11752699893605831
2131,intercept,-1.376663991132646,0.1548643451428
2132,intercept,-1.7504400913490974,0.11106023199297542
2133,intercept,-1.3536338546400861,0.15440233918910998
2134,intercept,-1.2664051085372339,0.13366618779454098
2135,intercept,-1.9363548859577369,0.13038275650424605
2137,intercept,-1.2246857800068116,0.12830069453073067
2162,intercept,-2.3993665139114446,0.14073232374282094
2163,intercept,-1.7595555991936849,0.15302779266649597
2164,intercept,-1.7173131467746303,0.145773255115003
2165,intercept,-1.1715589462247373,0.18612530223179624
2166,intercept,-1.9306255084114854,0.1312550680163754
2167,intercept,-2.3180558756087972,0.11039392173429251
2168,intercept,-1.6290628042270148,0.13207125238048226
2169,intercept,-1.9366914851036754,0.11633631731620367
2170,intercept,-1.8646705024975496,0.11963932411178259
2171,intercept,-1.629271146301487,0.11781215709027414
2172,intercept,-1.522927309849845,0.11719107280379838
2173,intercept,-1.482837651541396,0.1252863090971113
2174,intercept,-2.0676952040899756,0.11374039716823497
2178,intercept,-1.4222977682667775,0.2818292714085248
2192,intercept,-2.8974438467229264,0.1356232819207635
2193,intercept,-2.3122724402972463,0.147223857429847
2194,intercept,-1.9699335434110181,0.14722876222958514
2195,intercept,-1.9176494506673394,0.17925202566521858
2196,intercept,-1.7987912579675147,0.1363057431022676
2198,intercept,-1.7572822699948087,0.1225365249346194
2199,intercept,-1.8782464575353235,0.11560075711962642
2200,intercept,-1.6799751852598577,0.10756295017466314
2201,intercept,-2.072793777927285,0.10086503134240496
2202,intercept,-1.8723947597639021,0.11095704267118965
2208,intercept,-1.2346719829525532,0.17522236618722614
2222,intercept,-1.1049167777218314,0.19352440728138975
